gene_name	gene_id	transcript_id	cds_start	cds_length	tx_length	cds_end
TTN	ENSG00000155657.29	ENST00000589042.5	226	107976	109224	108201
MUC16	ENSG00000181143.16	ENST00000710609.1	35	43644	43766	43678
OBSCN	ENSG00000154358.23	ENST00000680850.1	161	26778	27019	26938
SYNE1	ENSG00000131018.25	ENST00000367255.10	566	26394	27708	26959
NEB	ENSG00000183091.21	ENST00000397345.8	193	25578	26191	25770
DST	ENSG00000151914.22	ENST00000680361.1	244	23457	24709	23700
MACF1	ENSG00000127603.32	ENST00000567887.5	158	22779	24319	22936
CCDC168	ENSG00000175820.4	ENST00000322527.4	141	21246	21470	21386
SYNE2	ENSG00000054654.20	ENST00000358025.7	213	20724	21842	20936
FSIP2	ENSG00000188738.16	ENST00000424728.6	92	20724	20879	20815
ADGRV1	ENSG00000164199.18	ENST00000405460.9	100	18921	19557	19020
AHNAK	ENSG00000124942.14	ENST00000378024.9	247	17673	18761	17919
AHNAK2	ENSG00000185567.7	ENST00000333244.6	138	17388	18335	17525
MUC5B	ENSG00000117983.17	ENST00000529681.5	59	17289	17911	17347
MUC5AC	ENSG00000215182.8	ENST00000621226.2	48	16965	17448	17012
NBPF20	ENSG00000162825.18	ENST00000369373.9	194	16941	18760	17134
HMCN1	ENSG00000143341.12	ENST00000271588.9	390	16908	18368	17297
MDN1	ENSG00000112159.13	ENST00000369393.8	188	16791	18485	16978
KMT2D	ENSG00000167548.18	ENST00000683543.2	1220	16662	20686	17881
MUC12	ENSG00000205277.10	ENST00000379442.7	1	16437	16737	16437
MUC4	ENSG00000145113.22	ENST00000463781.8	113	16239	16756	16351
C2orf16	ENSG00000221843.6	ENST00000447166.3	42	16167	16403	16208
RNF213	ENSG00000173821.20	ENST00000508628.6	146	15771	17730	15916
USH2A	ENSG00000042781.14	ENST00000674083.1	440	15681	19010	16120
UBR4	ENSG00000127481.15	ENST00000375254.8	19	15552	15892	15570
PCLO	ENSG00000186472.20	ENST00000333891.14	293	15429	20284	15721
HYDIN	ENSG00000157423.18	ENST00000393567.7	185	15366	21046	15550
BLTP1	ENSG00000138688.17	ENST00000679879.1	376	15282	16162	15657
EPPK1	ENSG00000261150.3	ENST00000615648.2	76	15267	16005	15342
HMCN2	ENSG00000148357.18	ENST00000683500.2	120	15240	15789	15359
ABCA13	ENSG00000179869.15	ENST00000435803.6	27	15177	17188	15203
RYR1	ENSG00000196218.14	ENST00000359596.8	140	15117	15400	15256
FAT4	ENSG00000196159.14	ENST00000394329.9	1036	14952	17151	15987
RYR2	ENSG00000198626.18	ENST00000660292.2	339	14925	16604	15263
KMT2C	ENSG00000055609.21	ENST00000682283.1	1	14907	15426	14907
RYR3	ENSG00000198838.14	ENST00000622037.1	71	14622	15564	14692
HERC1	ENSG00000103657.14	ENST00000443617.7	149	14586	15197	14734
BIRC6	ENSG00000115760.16	ENST00000421745.7	140	14574	15687	14713
HERC2	ENSG00000128731.18	ENST00000261609.13	137	14505	15364	14641
MYCBP2	ENSG00000005810.20	ENST00000683697.1	320	14319	15359	14638
DNHD1	ENSG00000179532.13	ENST00000254579.11	581	14262	14876	14842
DNAH8	ENSG00000124721.18	ENST00000327475.11	140	14124	14663	14263
STARD9	ENSG00000159433.12	ENST00000290607.12	111	14103	15637	14213
PLEC	ENSG00000178209.17	ENST00000322810.8	171	14055	15249	14225
DYNC1H1	ENSG00000197102.14	ENST00000681574.1	120	14019	14519	14138
LRP2	ENSG00000081479.15	ENST00000649046.1	136	13968	15657	14103
DNAH5	ENSG00000039139.11	ENST00000265104.5	251	13875	15781	14125
